date,CDU,CSU,AFD,SPD,GP,LP,FDP
2017-08-13,290.0,59.0,882.0,3044.0,0.0,397.0,764.0
2017-08-14,683.0,768.0,3933.0,3154.0,359.0,1011.0,289.0
2017-08-15,193.0,122.0,2491.0,142.0,265.0,436.0,307.0
2017-08-16,401.0,526.0,1370.0,407.0,605.0,247.0,465.0
2017-08-17,1022.0,1150.0,12098.0,2248.0,1047.0,1186.0,331.0
2017-08-18,382.0,0.0,2762.0,0.0,2257.0,0.0,666.0
2017-08-19,74.0,23.0,7390.0,1982.0,0.0,171.0,843.0
2017-08-20,121.0,403.0,3764.0,1972.0,1.0,2003.0,1407.0
2017-08-21,717.0,376.0,2517.0,264.0,172.0,251.0,244.0
2017-08-22,643.0,148.0,2078.0,1447.0,0.0,1459.0,998.0
2017-08-23,78.0,453.0,826.0,3212.0,5578.0,419.0,367.0
2017-08-24,406.0,689.0,6004.0,1584.0,634.0,428.0,259.0
2017-08-25,695.0,184.0,3239.0,3116.0,0.0,763.0,615.0
2017-08-26,39.0,62.0,0.0,707.0,990.0,117.0,792.0
2017-08-27,609.0,15.0,865.0,1102.0,528.0,3651.0,491.0
2017-08-28,637.0,241.0,8300.0,515.0,624.0,884.0,779.0
2017-08-29,320.0,405.0,12250.0,3017.0,435.0,360.0,1150.0
2017-08-30,517.0,497.0,16209.0,1352.0,1499.0,775.0,450.0
2017-08-31,341.0,310.0,9354.0,580.0,1202.0,266.0,154.0
2017-09-01,470.0,42.0,8446.0,322.0,447.0,3469.0,234.0
2017-09-02,365.0,28.0,2.0,442.0,305.0,501.0,607.0
2017-09-03,1093.0,846.0,9866.0,7781.0,1219.0,1219.0,591.0
2017-09-04,127.0,154.0,2911.0,1648.0,1857.0,1445.0,394.0
2017-09-05,475.0,3604.0,1682.0,125.0,1.0,8624.0,508.0
2017-09-06,551.0,1423.0,5904.0,939.0,626.0,1773.0,346.0
2017-09-07,520.0,566.0,3126.0,1333.0,416.0,1564.0,232.0
2017-09-08,96.0,137.0,3793.0,4143.0,860.0,687.0,265.0
2017-09-09,748.0,62.0,4723.0,2133.0,89.0,1428.0,892.0
2017-09-10,0.0,55.0,3269.0,2382.0,605.0,2784.0,760.0
2017-09-11,455.0,286.0,10763.0,1745.0,617.0,0.0,155.0
2017-09-12,535.0,316.0,10404.0,1873.0,1848.0,2601.0,227.0
2017-09-13,717.0,245.0,1259.0,1133.0,394.0,2584.0,559.0
2017-09-14,915.0,210.0,4373.0,1873.0,107.0,2894.0,1409.0
2017-09-15,601.0,508.0,15985.0,3012.0,137.0,1227.0,467.0
2017-09-16,496.0,403.0,10643.0,1217.0,1226.0,3139.0,472.0
2017-09-17,551.0,147.0,4923.0,1987.0,3244.0,1497.0,1613.0
2017-09-18,1375.0,1367.0,5687.0,1306.0,1452.0,448.0,633.0
2017-09-19,1353.0,189.0,8137.0,1076.0,1277.0,3814.0,817.0
